metric,year,value
- Cash & Bank Balances,2014,None
- Cash & Bank Balances,2015,None
- Cash & Bank Balances,2016,None
- Cash & Bank Balances,2017,None
- Cash & Bank Balances,2018,None
- Cash & Bank Balances,2019,None
- Cash & Bank Balances,2020,None
- Cash & Bank Balances,2021,None
- Cash & Bank Balances,2022,36.5
- Cash & Bank Balances,2023,88.5
- Cash & Bank Balances,2024,84.9
- Cash & Bank Balances,2025,70.3
- Net cash flow from operating activities,2014,None
- Net cash flow from operating activities,2015,None
- Net cash flow from operating activities,2016,None
- Net cash flow from operating activities,2017,None
- Net cash flow from operating activities,2018,None
- Net cash flow from operating activities,2019,None
- Net cash flow from operating activities,2020,None
- Net cash flow from operating activities,2021,None
- Net cash flow from operating activities,2022,39.6
- Net cash flow from operating activities,2023,104.2
- Net cash flow from operating activities,2024,44.8
- Net cash flow from operating activities,2025,61.5
- Cash Inflow/Outflow due to working capital changes,2014,None
- Cash Inflow/Outflow due to working capital changes,2015,None
- Cash Inflow/Outflow due to working capital changes,2016,None
- Cash Inflow/Outflow due to working capital changes,2017,None
- Cash Inflow/Outflow due to working capital changes,2018,None
- Cash Inflow/Outflow due to working capital changes,2019,None
- Cash Inflow/Outflow due to working capital changes,2020,None
- Cash Inflow/Outflow due to working capital changes,2021,None
- Cash Inflow/Outflow due to working capital changes,2022,24.4
- Cash Inflow/Outflow due to working capital changes,2023,78
- Cash Inflow/Outflow due to working capital changes,2024,-4.4
- Cash Inflow/Outflow due to working capital changes,2025,-134.2
- Cash flow generated from operations,2014,None
- Cash flow generated from operations,2015,None
- Cash flow generated from operations,2016,None
- Cash flow generated from operations,2017,None
- Cash flow generated from operations,2018,None
- Cash flow generated from operations,2019,None
- Cash flow generated from operations,2020,None
- Cash flow generated from operations,2021,None
- Cash flow generated from operations,2022,39.6
- Cash flow generated from operations,2023,106.6
- Cash flow generated from operations,2024,58.8
- Cash flow generated from operations,2025,129.2
- Cash inflow or (outflow) from extraordinary items,2014,None
- Cash inflow or (outflow) from extraordinary items,2015,None
- Cash inflow or (outflow) from extraordinary items,2016,None
- Cash inflow or (outflow) from extraordinary items,2017,None
- Cash inflow or (outflow) from extraordinary items,2018,None
- Cash inflow or (outflow) from extraordinary items,2019,None
- Cash inflow or (outflow) from extraordinary items,2020,None
- Cash inflow or (outflow) from extraordinary items,2021,None
- Cash inflow or (outflow) from extraordinary items,2022,None
- Cash inflow or (outflow) from extraordinary items,2023,None
- Cash inflow or (outflow) from extraordinary items,2024,None
- Cash inflow or (outflow) from extraordinary items,2025,None
- Cash (outflow) due to miscellaneous expenditure,2014,None
- Cash (outflow) due to miscellaneous expenditure,2015,None
- Cash (outflow) due to miscellaneous expenditure,2016,None
- Cash (outflow) due to miscellaneous expenditure,2017,None
- Cash (outflow) due to miscellaneous expenditure,2018,None
- Cash (outflow) due to miscellaneous expenditure,2019,None
- Cash (outflow) due to miscellaneous expenditure,2020,None
- Cash (outflow) due to miscellaneous expenditure,2021,None
- Cash (outflow) due to miscellaneous expenditure,2022,None
- Cash (outflow) due to miscellaneous expenditure,2023,None
- Cash (outflow) due to miscellaneous expenditure,2024,None
- Cash (outflow) due to miscellaneous expenditure,2025,None
- Net cash flow from investment activities,2014,None
- Net cash flow from investment activities,2015,None
- Net cash flow from investment activities,2016,None
- Net cash flow from investment activities,2017,None
- Net cash flow from investment activities,2018,None
- Net cash flow from investment activities,2019,None
- Net cash flow from investment activities,2020,None
- Net cash flow from investment activities,2021,None
- Net cash flow from investment activities,2022,-35.5
- Net cash flow from investment activities,2023,-54.8
- Net cash flow from investment activities,2024,-48.4
- Net cash flow from investment activities,2025,-79.6
- Dividend Received,2014,None
- Dividend Received,2015,None
- Dividend Received,2016,None
- Dividend Received,2017,None
- Dividend Received,2018,None
- Dividend Received,2019,None
- Dividend Received,2020,None
- Dividend Received,2021,None
- Dividend Received,2022,None
- Dividend Received,2023,None
- Dividend Received,2024,None
- Dividend Received,2025,None
- Net cash flow from financing activities,2014,None
- Net cash flow from financing activities,2015,None
- Net cash flow from financing activities,2016,None
- Net cash flow from financing activities,2017,None
- Net cash flow from financing activities,2018,None
- Net cash flow from financing activities,2019,None
- Net cash flow from financing activities,2020,None
- Net cash flow from financing activities,2021,None
- Net cash flow from financing activities,2022,-2
- Net cash flow from financing activities,2023,2.6
- Net cash flow from financing activities,2024,-1.1
- Net cash flow from financing activities,2025,3.4
- Dividend Paid,2014,None
- Dividend Paid,2015,None
- Dividend Paid,2016,None
- Dividend Paid,2017,None
- Dividend Paid,2018,None
- Dividend Paid,2019,None
- Dividend Paid,2020,None
- Dividend Paid,2021,None
- Dividend Paid,2022,None
- Dividend Paid,2023,None
- Dividend Paid,2024,None
- Dividend Paid,2025,None
- cf_net_change_in_cash_ncash_eq,2014,None
- cf_net_change_in_cash_ncash_eq,2015,None
- cf_net_change_in_cash_ncash_eq,2016,None
- cf_net_change_in_cash_ncash_eq,2017,None
- cf_net_change_in_cash_ncash_eq,2018,None
- cf_net_change_in_cash_ncash_eq,2019,None
- cf_net_change_in_cash_ncash_eq,2020,None
- cf_net_change_in_cash_ncash_eq,2021,None
- cf_net_change_in_cash_ncash_eq,2022,None
- cf_net_change_in_cash_ncash_eq,2023,None
- cf_net_change_in_cash_ncash_eq,2024,None
- cf_net_change_in_cash_ncash_eq,2025,None
- cf_cash_ncash_eq_beg,2014,None
- cf_cash_ncash_eq_beg,2015,None
- cf_cash_ncash_eq_beg,2016,None
- cf_cash_ncash_eq_beg,2017,None
- cf_cash_ncash_eq_beg,2018,None
- cf_cash_ncash_eq_beg,2019,None
- cf_cash_ncash_eq_beg,2020,None
- cf_cash_ncash_eq_beg,2021,None
- cf_cash_ncash_eq_beg,2022,None
- cf_cash_ncash_eq_beg,2023,None
- cf_cash_ncash_eq_beg,2024,None
- cf_cash_ncash_eq_beg,2025,None
- cf_cash_ncash_eq_end,2014,None
- cf_cash_ncash_eq_end,2015,None
- cf_cash_ncash_eq_end,2016,None
- cf_cash_ncash_eq_end,2017,None
- cf_cash_ncash_eq_end,2018,None
- cf_cash_ncash_eq_end,2019,None
- cf_cash_ncash_eq_end,2020,None
- cf_cash_ncash_eq_end,2021,None
- cf_cash_ncash_eq_end,2022,None
- cf_cash_ncash_eq_end,2023,None
- cf_cash_ncash_eq_end,2024,None
- cf_cash_ncash_eq_end,2025,None
- Net change in cash and cash equivalents,2014,None
- Net change in cash and cash equivalents,2015,None
- Net change in cash and cash equivalents,2016,None
- Net change in cash and cash equivalents,2017,None
- Net change in cash and cash equivalents,2018,None
- Net change in cash and cash equivalents,2019,None
- Net change in cash and cash equivalents,2020,None
- Net change in cash and cash equivalents,2021,None
- Net change in cash and cash equivalents,2022,2.1
- Net change in cash and cash equivalents,2023,52
- Net change in cash and cash equivalents,2024,-4.7
- Net change in cash and cash equivalents,2025,-14.7
- Cash and cash equivalents as at the beginning of the year,2014,None
- Cash and cash equivalents as at the beginning of the year,2015,None
- Cash and cash equivalents as at the beginning of the year,2016,None
- Cash and cash equivalents as at the beginning of the year,2017,None
- Cash and cash equivalents as at the beginning of the year,2018,None
- Cash and cash equivalents as at the beginning of the year,2019,None
- Cash and cash equivalents as at the beginning of the year,2020,None
- Cash and cash equivalents as at the beginning of the year,2021,None
- Cash and cash equivalents as at the beginning of the year,2022,34.4
- Cash and cash equivalents as at the beginning of the year,2023,36.5
- Cash and cash equivalents as at the beginning of the year,2024,38.5
- Cash and cash equivalents as at the beginning of the year,2025,33.8
- Cash and cash equivalents as at the end of the year,2014,None
- Cash and cash equivalents as at the end of the year,2015,None
- Cash and cash equivalents as at the end of the year,2016,None
- Cash and cash equivalents as at the end of the year,2017,None
- Cash and cash equivalents as at the end of the year,2018,None
- Cash and cash equivalents as at the end of the year,2019,None
- Cash and cash equivalents as at the end of the year,2020,None
- Cash and cash equivalents as at the end of the year,2021,None
- Cash and cash equivalents as at the end of the year,2022,36.5
- Cash and cash equivalents as at the end of the year,2023,88.5
- Cash and cash equivalents as at the end of the year,2024,33.8
- Cash and cash equivalents as at the end of the year,2025,19.1
