metric,year,value
- Long Term Provisions,2017,None
- Long Term Provisions,2018,None
- Long Term Provisions,2019,None
- Long Term Provisions,2020,None
- Long Term Provisions,2021,None
- Long Term Provisions,2022,None
- Long Term Provisions,2023,None
- Long Term Provisions,2024,1.1
- Long Term Provisions,2025,1.6
- Sources of Funds,2014,None
- Sources of Funds,2015,None
- Sources of Funds,2016,None
- Sources of Funds,2017,None
- Sources of Funds,2018,None
- Sources of Funds,2019,None
- Sources of Funds,2020,None
- Sources of Funds,2021,None
- Sources of Funds,2022,None
- Sources of Funds,2023,None
- Sources of Funds,2024,None
- Sources of Funds,2025,None
- Accumulated depreciation and impairment,2014,None
- Accumulated depreciation and impairment,2015,None
- Accumulated depreciation and impairment,2016,None
- Accumulated depreciation and impairment,2017,None
- Accumulated depreciation and impairment,2018,None
- Accumulated depreciation and impairment,2019,None
- Accumulated depreciation and impairment,2020,None
- Accumulated depreciation and impairment,2021,None
- Accumulated depreciation and impairment,2022,0
- Accumulated depreciation and impairment,2023,0
- Accumulated depreciation and impairment,2024,0
- Accumulated depreciation and impairment,2025,0
- CWIP,2014,None
- CWIP,2015,None
- CWIP,2016,None
- CWIP,2017,None
- CWIP,2018,None
- CWIP,2019,None
- CWIP,2020,None
- CWIP,2021,None
- CWIP,2022,14.7
- CWIP,2023,29.3
- CWIP,2024,31.9
- CWIP,2025,24.4
- Non Current Investments,2014,None
- Non Current Investments,2015,None
- Non Current Investments,2016,None
- Non Current Investments,2017,None
- Non Current Investments,2018,None
- Non Current Investments,2019,None
- Non Current Investments,2020,None
- Non Current Investments,2021,None
- Non Current Investments,2022,None
- Non Current Investments,2023,None
- Non Current Investments,2024,None
- Non Current Investments,2025,None
- Long Term Loans and Advances,2014,None
- Long Term Loans and Advances,2015,None
- Long Term Loans and Advances,2016,None
- Long Term Loans and Advances,2017,None
- Long Term Loans and Advances,2018,None
- Long Term Loans and Advances,2019,None
- Long Term Loans and Advances,2020,None
- Long Term Loans and Advances,2021,None
- Long Term Loans and Advances,2022,15
- Long Term Loans and Advances,2023,23.5
- Long Term Loans and Advances,2024,41
- Long Term Loans and Advances,2025,77.4
- Current Investments,2014,None
- Current Investments,2015,None
- Current Investments,2016,None
- Current Investments,2017,None
- Current Investments,2018,None
- Current Investments,2019,None
- Current Investments,2020,None
- Current Investments,2021,None
- Current Investments,2022,None
- Current Investments,2023,None
- Current Investments,2024,3.5
- Current Investments,2025,37.8
- Inventories,2014,None
- Inventories,2015,None
- Inventories,2016,None
- Inventories,2017,None
- Inventories,2018,None
- Inventories,2019,None
- Inventories,2020,None
- Inventories,2021,None
- Inventories,2022,1.3
- Inventories,2023,20.3
- Inventories,2024,43.9
- Inventories,2025,73.8
- Trade Receivables,2014,None
- Trade Receivables,2015,None
- Trade Receivables,2016,None
- Trade Receivables,2017,None
- Trade Receivables,2018,None
- Trade Receivables,2019,None
- Trade Receivables,2020,None
- Trade Receivables,2021,None
- Trade Receivables,2022,8.7
- Trade Receivables,2023,12.4
- Trade Receivables,2024,37.8
- Trade Receivables,2025,129.9
- Short Term Loans and Advances,2014,None
- Short Term Loans and Advances,2015,None
- Short Term Loans and Advances,2016,None
- Short Term Loans and Advances,2017,None
- Short Term Loans and Advances,2018,None
- Short Term Loans and Advances,2019,None
- Short Term Loans and Advances,2020,None
- Short Term Loans and Advances,2021,None
- Short Term Loans and Advances,2022,36.7
- Short Term Loans and Advances,2023,30.9
- Short Term Loans and Advances,2024,28.9
- Short Term Loans and Advances,2025,92.9
- Trade Payables,2014,None
- Trade Payables,2015,None
- Trade Payables,2016,None
- Trade Payables,2017,None
- Trade Payables,2018,None
- Trade Payables,2019,None
- Trade Payables,2020,None
- Trade Payables,2021,None
- Trade Payables,2022,14.5
- Trade Payables,2023,15.1
- Trade Payables,2024,53.9
- Trade Payables,2025,62
- Short Term Provisions,2014,None
- Short Term Provisions,2015,None
- Short Term Provisions,2016,None
- Short Term Provisions,2017,None
- Short Term Provisions,2018,None
- Short Term Provisions,2019,None
- Short Term Provisions,2020,None
- Short Term Provisions,2021,None
- Short Term Provisions,2022,0.4
- Short Term Provisions,2023,2.9
